id,poiId,cate_id,frontImg,title,avgScore,allCommentNum,address,avgPrice
94,169985357,c393,https://img.meituan.net/600.600/msmerchant/6ff94ef2afef62058791827996db704789845.jpg,鲜莽子火锅,5,61,游仙区小枧沟镇惠民街107号,50
95,193215048,c393,https://img.meituan.net/600.600/msmerchant/42053d54e90dfc9c190891134040a982760877.jpg,蜀味火焱山火盆烧烤（高新区店）,5,49,涪城区火炬西街北段58-9号,41
96,597099460,c393,https://img.meituan.net/600.600/msmerchant/09677190f52121d478946de9563d0f31179051.jpg,溢品香鱼火锅（五里堆店）,4.4,21,游仙区五里堆路一环路东段165号,31
97,194413990,c393,https://img.meituan.net/600.600/msmerchant/af04560244ef365ae3a8aa0840ab46f2101556.jpg,隆味客餐饮,5,13,涪城区高新区绵兴东路96号25-30、107门面,38
98,164744915,c393,http://p0.meituan.net/600.600/mogu/60a632783e18a283f30be48b9e05f94e115623.jpg,余记萝卜干（马家巷店）,5,162,涪城区孙家巷2号,10
99,95143439,c393,http://p1.meituan.net/600.600/mogu/d6af79027f75fd30f1b036b18cfe14c1189719.jpg,吉鼓咖啡（会仙店）,3.5,10,涪城区涪城区会仙路11-6号,20
100,187197359,c393,https://img.meituan.net/600.600/msmerchant/63257b9357b2da9fcfd593a63cfebe7d75278.jpg,红社老味火锅（万达总店）,4.7,189,涪城区金菊街31号1栋1-2层3号、4号,58
101,84137925,c393,http://p0.meituan.net/600.600/deal/201102/18/gxfutu6.jpg,清娃子火锅,0,0,北川羌族自治县105省道西50米,35
102,179356757,c393,https://img.meituan.net/600.600/msmerchant/ebd897b5b10de827fb5f58736f666e4b112834.png,明厨先生中餐厅,4.3,80,涪城区高新区双碑中街46号C、D幢1、2层商铺,66
103,1452505114,c393,https://img.meituan.net/600.600/msmerchant/7a17ffd4616cea3b1c1d4fd7566f7a483452400.jpg,小别蜀火锅集市（梅西百货店）,4.3,25,涪城区兴达街梅西百货,54
104,165941952,c393,https://img.meituan.net/600.600/msmerchant/91bdd99bc4b221789d635ecfee2235b529830.jpg,冷沾沾（剧院店）,3.5,1,涪城区涪红星街绵州大剧院1楼7号（绵州大剧院背后）,16
